Probe Set	Identifier	FirstOfLocuslink	FirstOfName	FirstOfFunction	Description							
4150176	XM_927666.1	644544	LOC644544		LOC644544							
7320370	NM_003151.2	6775	STAT4		STAT4							
2900743	AA676493		HS.551432		HS.551432							
6060673	BX106045		HS.308351		HS.308351							
6250204	NM_173541.1	170393	C10ORF91		C10ORF91							
730168	DA102929		HS.544127		HS.544127							
1710180	DB341593		HS.577061		HS.577061							
2640102	DN831478		HS.572761		HS.572761							
6980167	NM_198078.1	150142	C21ORF121		C21ORF121							
1500309	AK025793		HS.549989		HS.549989							
150021	NM_001007468.1	6598	SMARCB1		SMARCB1							
130241	NM_001007468.1	6598	SMARCB1		SMARCB1							
6280136	XM_372630.2	390712	LOC390712		LOC390712							
6510377	NM_016639.1	51330	TNFRSF12A		TNFRSF12A							
2350400	NM_001037232.2	374899	ZNF829		ZNF829							
7050059	NM_001037232.2	374899	ZNF829		ZNF829							
2680315	NM_001037232.2	374899	ZNF829		ZNF829							
1050347	NM_030773.2	81027	TUBB1		TUBB1							
4730356	NM_001014373.1	404664	C19ORF31		C19ORF31							
3180707	NM_001014373.1	404664	C19ORF31		C19ORF31							
3840114	NM_017760.4	54892	LUZP5		LUZP5							
6180445	NM_001018022.1	389286	LOC389286		LOC389286							
2230661	BC039665		HS.149763		HS.149763							
7050064	NM_005855.2	10267	RAMP1		RAMP1							
380327	XM_001127763.1	730820	LOC730820		LOC730820							
830189	NM_012245.2	22938	SNW1		SNW1							
2600646	NM_019613.2	56270	WDR45L		WDR45L							
990100	NM_022366.1	64216	TFB2M		TFB2M							
5270296	NM_022366.1	64216	TFB2M		TFB2M							
6200390	NM_000946.2	5557	PRIM1		PRIM1							
5960328	XM_927939.2	644844	LOC644844		LOC644844							
5310328	NM_024727.2	79782	LRRC31		LRRC31							
5130437	Z38819		HS.554608		HS.554608							
6110040	XM_932504.1	642918	LOC642918		LOC642918							
1190240	NM_001009611.1	400735	PRAMEF4		PRAMEF4							
4060142	NM_001009611.1	400735	PRAMEF4		PRAMEF4							
5860110	NM_173825.3	285282	RABL3		RABL3							
1450619	NM_000893.2	3827	KNG1		KNG1							
3520086	AK093862		HS.134728		HS.134728							
6660672	AI039233		HS.542573		HS.542573							
5420402	BQ017325		HS.131275		HS.131275							
450626	NM_016206.2	389136	VGLL3		VGLL3							
4060722	NM_007273.3	11331	PHB2		PHB2							
7570484	NM_003226.2	7033	TFF3		TFF3							
1780278	NM_005227.2	1945	EFNA4		EFNA4							
4900594	NM_020389.1	57113	TRPC7		TRPC7							
7050601	XM_936970.1	647910	LOC647910		LOC647910							
2490221	BC041342		HS.440981		HS.440981							
6110070	NM_198944.1	26664	OR7C1		OR7C1							
2640041	XM_927932.1	644836	LOC644836		LOC644836							
3370240	NM_178536.2	286256	LCN12		LCN12							
4860152	NM_000300.2	5320	PLA2G2A		PLA2G2A							
4210563	NM_152671.3	200576	PIP5K3		PIP5K3							
2630364	DA209684		HS.570369		HS.570369							
1820075	NM_012413.3	25797	QPCT		QPCT							
5570139	NM_012413.3	25797	QPCT		QPCT							
830343	XM_941815.2	647190	LOC647190		LOC647190							
1710402	BX096516		HS.263832		HS.263832							
620246	NM_152587.3	160140	C11ORF65		C11ORF65							
3520017	AW273079		HS.539660		HS.539660							
3420279	AI820955		HS.427229		HS.427229							
1850689	XM_941573.2	652200	LOC652200		LOC652200							
4010427	NM_017424.2	51816	CECR1		CECR1							
5910703	XM_927686.1	644571	LOC644571		LOC644571							
2100296	NM_004851.1	9476	NAPSA		NAPSA							
4390091	AI693142		HS.202424		HS.202424							
5090193	XM_946081.1	51608	C7ORF20		C7ORF20							
2900674	NM_001542.2	3321	IGSF3		IGSF3							
2190133	NM_175923.3	286301	MGC42630		MGC42630							
2810292	CK299582		HS.355102		HS.355102							
6180138	XM_936831.2	440073	IQSEC3		IQSEC3							
2350070	AW337833		HS.557039		HS.557039							
2260114	BU680613		HS.543818		HS.543818							
3130026	NM_012324.3	23542	MAPK8IP2		MAPK8IP2							
1410315	NM_012324.3	23542	MAPK8IP2		MAPK8IP2							
1660270	NM_005956.2	4522	MTHFD1		MTHFD1							
2810192	NM_170678.2	27231	ITGB1BP3		ITGB1BP3							
6250541	NM_170678.2	27231	ITGB1BP3		ITGB1BP3							
1070161	XM_372913.3	391347	LOC391347		LOC391347							
3990274	DV080322		HS.571445		HS.571445							
1050632	NM_207310.1	91409	CCDC74B		CCDC74B							
2030110	NM_021574.1	613	BCR		BCR							
7320215	BX111562		HS.130457		HS.130457							
510437	AF009307		HS.544242		HS.544242							
6350020	NM_001038706.1	439941	C8ORF54		C8ORF54							
7100068	N51954		HS.551390		HS.551390							
50184	BX118161		HS.551793		HS.551793							
940681	CF454632		HS.579465		HS.579465							
1300465	NM_020406.2	57126	CD177		CD177							
1500431	NM_144644.2	132851	SPATA4		SPATA4							
1340669	BX537514		HS.92308		HS.92308							
7610725	BX097369		HS.125537		HS.125537							
4830301	NM_021078.2	2648	KAT2A		KAT2A							
830541	XM_001127908.1	728608	LOC728608		LOC728608							
3310369	AA806689		HS.539982		HS.539982							
5080184	XM_942012.1	650107	LOC650107		LOC650107							
2680112	BG255514		HS.563762		HS.563762							
6040605	XM_942793.1	6759	SSX4		SSX4							
1240524	AV729853		HS.570624		HS.570624							
4010368	NM_006542.2	10638	SPHAR		SPHAR							
1740711	NM_005919.1	4207	MEF2B		MEF2B							
240181	XM_942715.1	4326	MMP17		MMP17							
6100201	DA944763		HS.573902		HS.573902							
7560474	AL831877		HS.576804		HS.576804							
5570022	BQ025421		HS.365090		HS.365090							
6020224	NM_000507.2	2203	FBP1		FBP1							
5560463	BM987531		HS.564884		HS.564884							
730220	CN358159		HS.166545		HS.166545							
1450204	XM_931838.1	653145	LOC653145		LOC653145							
5900411	NM_207375.1	387836	CLEC2A		CLEC2A							
3710739	BM806922		HS.46555		HS.46555							
1430121	XM_944513.1	648763	LOC648763		LOC648763							
430747	NM_000442.3	5175	PECAM1		PECAM1							
2690671	AI202963		HS.319180		HS.319180							
4560546	XM_943049.2	647839	LOC647839		LOC647839							
6040431	NM_000845.1	2918	GRM8		GRM8							
5720139	NM_020641.1	54586	C9ORF11		C9ORF11							
6450372	NM_000284.1	5160	PDHA1		PDHA1							
7510711	NM_177536.1	6817	SULT1A1		SULT1A1							
6270725	NM_177536.1	6817	SULT1A1		SULT1A1							
990669	NM_177536.1	6817	SULT1A1		SULT1A1							
1410630	AI809599		HS.581276		HS.581276							
3800605	XM_001134308.1	732275	LOC732275		LOC732275							
6280020	XM_926567.1	643203	LOC643203		LOC643203							
3180082	DA804251		HS.571194		HS.571194							
2260215	NM_032991.2	836	CASP3		CASP3							
4060717	NM_001013671.1	400499	LOC400499		LOC400499							
1570541	NM_001013671.1	400499	LOC400499		LOC400499							
3830301	XM_940028.2	197350	LOC197350		LOC197350							
2480136	NM_152740.2	11112	HIBADH		HIBADH							
5050487	AI347664		HS.541737		HS.541737							
1410392	NM_194457.1	118424	UBE2J2		UBE2J2							
610017	NM_182535.1	200261	LOC200261		LOC200261							
6420465	NM_031412.2	23710	GABARAPL1		GABARAPL1							
4540377	XM_001125942.1	727849	LOC727849		LOC727849							
4640035	XM_001125942.1	727849	LOC727849		LOC727849							
3890192	NM_014829.2	9879	DDX46		DDX46							
520519	NM_020348.1	26507	CNNM1		CNNM1							
4490593	BF431460		HS.145993		HS.145993							
2940435	NM_003234.1	7037	TFRC		TFRC							
5960653	NM_018710.1	55529	TMEM55A		TMEM55A							
3710129	XM_938315.1	649248	LOC649248		LOC649248							
3440025	NM_020133.2	56895	AGPAT4		AGPAT4							
780129	NM_032214.2	84174	SLA2		SLA2							
6840711	NM_001349.2	1615	DARS		DARS							
3170209	NM_001247.1	955	ENTPD6		ENTPD6							
7200215	NM_001247.1	955	ENTPD6		ENTPD6							
5490719	NM_032029.2	83953	FCAMR		FCAMR							
4570438	NM_001251.2	968	CD68		CD68							
6220382	NM_001251.2	968	CD68		CD68							
1110440	NM_024102.2	79084	WDR77		WDR77							
2480601	BU951742		HS.526811		HS.526811							
4150167	BX111694		HS.208645		HS.208645							
2650750	NM_001080125.1	841	CASP8		CASP8							
2320026	XM_939766.1	650678	LOC650678		LOC650678							
380341	NM_173605.1	283518	KCNRG		KCNRG							
110243	BM676336		HS.563186		HS.563186							
4120048	AA480544		HS.539305		HS.539305							
7000441	AW081216		HS.564502		HS.564502							
2630692	NM_198839.1	31	ACACA		ACACA							
6650328	NM_198839.1	31	ACACA		ACACA							
4050494	NM_001039615.3	728957	ZNF705D		ZNF705D							
6840243	NM_001039615.3	728957	ZNF705D		ZNF705D							
1850369	NM_001039615.3	728957	ZNF705D		ZNF705D							
2030768	XM_943550.1	339782	LOC339782		LOC339782							
670494	XM_944097.2	389641	LOC389641		LOC389641							
6900114	NM_006080.2	10371	SEMA3A		SEMA3A							
360630	XM_944149.1	650323	LOC650323		LOC650323							
5900050	XR_017411.1	653800	LOC653800		LOC653800							
4150093	CX868752		HS.552544		HS.552544							
6450538	NM_006706.3	10915	TCERG1		TCERG1							
4490600	NM_006706.3	10915	TCERG1		TCERG1							
4060646	NM_006706.3	10915	TCERG1		TCERG1							
20204	BG190860		HS.562138		HS.562138							
5260630	NM_003955.3	9021	SOCS3		SOCS3							
6270706	NM_173156.1	9887	SMG7		SMG7							
5550114	NM_173156.1	9887	SMG7		SMG7							
5910129	AI732602		HS.549823		HS.549823							
3360594	AI208228		HS.243861		HS.243861							
6580735	NM_005622.3	6296	ACSM3		ACSM3							
3840632	NM_005622.3	6296	ACSM3		ACSM3							
5290131	NM_006141.2	1783	DYNC1LI2		DYNC1LI2							
5050594	AI150140		HS.547935		HS.547935							
7330326	BX099908		HS.201405		HS.201405							
4120026	XM_930661.1	653050	LOC653050		LOC653050							
990390	NM_015517.3	25988	MIZF		MIZF							
4120692	NM_001009909.2	338645	LUZP2		LUZP2							
5550433	XM_937684.1	648615	LOC648615		LOC648615							
6660685	AI277665		HS.175079		HS.175079							
4760196	AW265600		HS.543547		HS.543547							
6110544	BM967229		HS.542956		HS.542956							
2690500	NM_033304.1	148	ADRA1A		ADRA1A							
7550348	NM_015354.1	23511	NUP188		NUP188							
6860435	DA162248		HS.576557		HS.576557							
1070626	XM_939618.1	650528	LOC650528		LOC650528							
